time (ms), current (mA), voltage (V)
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
49562,0.77,4.04
50063,0.86,4.03
50563,0.83,4.1
51063,0.83,4.1
51563,0.81,4.1
52062,0.82,4.15
52563,0.8,4.19
53063,0.84,4.27
53563,0.91,4.32
54063,0.84,4.38
54562,0.88,4.41
55062,0.95,4.41
55562,0.88,4.4
56062,0.86,4.41
56562,0.9,4.41
57063,0.85,4.41
57563,0.9,4.4
58063,0.85,4.4
58563,0.9,4.4
59062,0.94,4.4
59562,0.9,4.4
60062,0.93,4.4
60562,0.83,4.4
61062,0.89,4.39
61562,0.88,4.39
62062,0.9,4.39
62563,0.85,4.39
63063,0.93,4.39
63563,0.89,4.4
64063,0.86,4.4
64563,0.8,4.41
65062,0.94,4.41
65562,0.92,4.41
66063,0.94,4.41
66563,0.89,4.41
67062,0.84,4.41
67562,0.84,4.4
68062,0.92,4.39
68562,0.94,4.4
69062,0.97,4.4
69563,0.88,4.39
70063,0.88,4.39
70563,0.84,4.38
71063,0.92,4.38
71563,0.82,4.38
72063,0.91,4.37
72562,0.9,4.37
73062,0.87,4.37
73562,0.89,4.37
74062,0.92,4.37
74562,0.9,4.37
75063,0.87,4.37
75563,0.98,4.37
76063,0.78,4.37
76563,0.88,4.37
77063,0.89,4.37
77563,0.9,4.37
78062,0.87,4.37
78562,0.79,4.37
79062,0.85,4.37
79563,0.85,4.37
80063,0.82,4.35
80562,0.9,4.36
81062,0.86,4.37
81562,0.88,4.35
82062,0.89,4.34
82562,0.88,4.33
83062,0.88,4.32
83563,0.92,4.32
84063,0.79,4.33
84563,0.92,4.33
85063,0.82,4.34
85563,0.86,4.34
86063,0.91,4.34
86562,0.91,4.34
87062,0.88,4.34
87562,0.88,4.35
88062,0.9,4.36
88562,0.86,4.36
89063,0.88,4.38
89563,0.88,4.38
90063,0.9,4.37
90563,0.88,4.39
91063,0.92,4.38
91562,0.93,4.36
92062,0.9,4.37
92562,0.94,4.36
93063,0.9,4.36
93563,0.91,4.36
94063,0.91,4.37
94562,0.88,4.39
95062,0.86,4.38
95562,0.88,4.37
96062,0.84,4.36
96562,0.95,4.35
97063,0.89,4.35
97563,0.92,4.34
98063,0.91,4.33
98563,0.8,4.35
99062,0.84,4.32
99562,0.88,4.32
100062,0.86,4.33
100562,0.94,4.31
101062,0.88,4.32
101562,0.83,4.32
102062,0.83,4.32
102563,0.85,4.33
103063,0.85,4.34
103563,0.89,4.34
104063,0.84,4.35
104563,0.89,4.33
105062,0.86,4.33
105562,0.89,4.31
106063,0.83,4.32
106563,0.92,4.29
107063,0.83,4.27
107562,0.84,4.28
108062,0.87,4.29
