time (ms), current (mA), voltage (V)
25174,-0.01,0.02
25196,-0.02,0.04
25217,0,0.06
25239,0.02,0.08
25261,0.01,0.09
25282,0.01,0.11
25304,0,0.13
25325,-0.01,0.15
25347,0,0.17
25369,0.02,0.19
25391,0.01,0.19
25412,0.03,0.19
25434,0.05,0.19
25455,0.04,0.19
25477,0.04,0.19
25499,0.04,0.19
25520,0.06,0.19
25542,0.08,0.19
25563,0.07,0.19
25585,0.06,0.19
25607,0.08,0.19
25628,0.07,0.19
25650,0.03,0.19
25672,0.01,0.19
25693,0.02,0.19
25718,0.02,0.19
25739,0.01,0.19
25761,-0.01,0.19
25783,0.01,0.19
25804,0.01,0.19
25826,0.01,0.19
25847,-0.01,0.19
25869,0.01,0.19
25891,0.04,0.19
25912,0.02,0.19
25934,0.03,0.19
25955,0.01,0.19
25977,0.02,0.19
25999,-0.01,0.19
26020,0,0.19
26042,-0.01,0.19
26064,0,0.19
26086,-0.01,0.19
26108,-0.04,0.19
26129,0,0.19
26151,0,0.19
26173,0.02,0.19
26194,0.02,0.19
26216,0.03,0.19
26237,0.01,0.19
26259,0.02,0.19
26280,-0.02,0.19
26563,-0.02,0.19
27063,-0.03,0.19
27563,-0.03,0.19
28063,-0.04,0.19
28562,-0.04,0.19
29062,-0.08,0.19
29562,-0.03,0.19
30063,-0.02,0.19
30563,0,0.19
time (ms), current (mA), voltage (V)
2437,0.01,0.02
2458,0.01,0.04
2480,0.03,0.05
2501,0.04,0.07
2563,0,0.19
3062,0.02,0.19
3562,0,0.19
4062,-0.02,0.19
4562,-0.01,0.19
5062,0.02,0.19
5562,-0.06,0.19
6063,-0.02,0.19
6563,-0.02,0.19
7063,0,0.19
7562,0.02,0.19
8063,0,0.19
8562,-0.04,0.19
9063,-0.06,0.19
9563,0.05,0.19
10063,0.02,0.19
10563,-0.06,0.19
11063,-0.01,0.19
11562,-0.01,0.19
12062,-0.05,0.19
12563,-0.03,0.19
13063,-0.02,0.19
13563,0.01,0.19
14063,-0.05,0.19
14563,-0.02,0.19
15062,-0.05,0.19
15562,0.09,0.19
16062,0.02,0.19
16562,0,0.19
17062,-0.01,0.17
17563,0,0.14
18063,0.07,0.13
18563,0.03,0.12
19062,0.03,0.14
19562,-0.03,0.19
20062,0,0.19
20562,-0.04,0.19
21062,0.02,0.19
21563,-0.08,0.18
22062,0,0.19
22562,0,0.19
23062,0.07,0.19
23562,-0.05,0.19
24062,-0.04,0.19
24562,0,0.18
25062,-0.02,0.19
25563,-0.04,0.18
26063,0,0.19
time (ms), current (mA), voltage (V)
562,-0.09,0.19
1062,0.03,0.19
1562,0,0.19
2062,-0.01,0.19
2562,-0.02,0.19
3062,-0.04,0.19
3562,-0.09,0.19
4062,-0.02,0.19
4563,-0.04,0.19
5063,0,0.19
5563,-0.02,0.19
6062,0.03,0.19
6562,0.01,0.19
7062,0.02,0.19
7562,0.01,0.19
8062,0.05,0.19
8563,0.06,0.19
9062,0.03,0.19
9562,0.07,0.19
10063,0.02,0.19
10563,-0.06,0.19
11063,0.02,0.19
11563,0,0.19
12063,-0.02,0.19
12563,0.02,0.33
13063,0.06,0.6
13563,-0.04,0.6
14063,0.01,0.08
14563,0.01,0.03
15063,-0.01,0.01
15563,-0.02,0.01
16063,-0.09,0.01
16563,-0.05,0.01
17062,-0.02,0.01
17563,0,0.01
18062,-0.1,0.01
18562,0.03,0.01
19062,-0.07,0.01
19562,0.05,0.01
20062,-0.05,0.01
20562,-0.07,0.01
21063,-0.04,0.01
21563,0,0.01
22063,-0.01,0.01
time (ms), current (mA), voltage (V)
563,2.7,0.01
1062,3.19,0.01
1563,4.39,0.01
2062,3.78,0.01
2562,16.85,0.02
3063,12,0.02
3563,10.16,0.02
4063,6.57,0.01
4562,15.23,0.02
5062,16.88,0.02
5563,12.28,0.02
6063,25.54,0.03
6562,28.2,0.03
7062,26.16,0.03
7562,27.54,0.03
8063,27.58,0.03
8563,26.69,0.03
9062,26.28,0.03
9562,28.12,0.03
10062,27.42,0.03
10563,27.4,0.03
11063,19.66,21.53
11562,14.19,22.3
12062,10.85,22.65
12562,5.8,23.1
13063,5.67,23.11
13563,4.28,23.22
14063,2.75,23.32
14563,2.69,23.32
15062,2.78,23.31
15562,2.86,23.3
16062,2.74,23.3
16563,2.89,23.29
17063,2.9,23.28
17563,3.02,23.27
18063,3.1,23.26
18562,3.22,23.25
19062,3.25,23.24
19562,3.24,23.23
20063,3.45,23.21
20563,3.6,23.2
21063,3.68,23.18
21562,3.83,23.17
22062,3.65,23.16
22562,3.9,23.14
23062,4.12,23.13
23563,4.28,23.11
24063,4.45,23.09
24562,4.62,23.07
25063,4.81,23.05
25563,5.04,23.03
26063,5.04,23.02
26562,6.03,22.94
27062,6.81,22.87
27562,7.14,22.84
28062,7.42,22.8
28563,7.88,22.76
29063,8.58,22.7
29563,9.06,22.64
30062,9.52,22.59
30562,10.42,22.5
31062,10.36,22.5
31562,16.24,21.81
32062,21.42,20.79
32562,23.46,18.95
33062,24.48,15.48
33562,25.02,13.08
34062,25.04,11.53
34562,25.28,8.16
35062,25.35,5.81
35563,25.31,5.45
36063,25.72,0.28
