time (ms), gyrz (dps), magx (uT), magy (uT), wheel (RPM)
514, -00000.062,  00030.452,  00007.952, 0.00
532, -00003.112,  00031.352,  00006.602, -14.80
550, -00002.092,  00041.252,  00017.402, -52.08
569, -00000.382,  00036.152,  00017.102, -78.95
588, -00000.532,  00035.702,  00014.252, -109.38
606,  00000.892,  00034.802,  00012.902, -135.42
701, -00001.632,  00034.352,  00012.752, -195.48
801, -00000.752,  00034.352,  00011.252, -283.12
901,  00002.072,  00034.652,  00011.552, -348.48
1001, -00002.632,  00031.502,  00011.252, -388.12
1101,  00001.152,  00032.102,  00012.752, -423.30
1201, -00001.812,  00032.852,  00009.752, -443.44
1301,  00003.322,  00033.302,  00009.752, -460.31
1401, -00001.482,  00032.852,  00010.052, -471.56
1501, -00000.992,  00033.002,  00009.902, -479.06
1601, -00004.652,  00031.802,  00009.752, -486.56
1701, -00000.762,  00032.402,  00011.102, -491.25
1801, -00001.632,  00033.452,  00008.402, -500.00
1901, -00001.792,  00031.352,  00011.852, -497.81
2001, -00002.282,  00032.102,  00009.752, -503.79
2101, -00001.042,  00031.952,  00009.602, -498.75
2201, -00000.682,  00030.752,  00008.702, -500.62
2301,  00000.312,  00033.002,  00011.102, -506.63
2401, -00001.212,  00030.152,  00008.852, -503.44
2501,  00000.332,  00032.402,  00009.602, -503.44
2601, -00000.312,  00031.352,  00010.652, -504.38
2701, -00002.552,  00030.902,  00010.652, -506.63
2801,  00001.032,  00029.552,  00009.602, -502.50
2901,  00000.332,  00030.902,  00008.102, -503.44
3001, -00002.532,  00031.802,  00009.302, -505.31
3101,  00000.052,  00031.802,  00008.252, -505.31
3201, -00000.162,  00031.052,  00008.702, -504.38
3301,  00001.192,  00030.152,  00009.902, -509.47
3401, -00000.772,  00030.752,  00009.752, -504.38
3501,  00001.762,  00031.802,  00009.302, -510.42
3601,  00000.962,  00031.952,  00010.352, -506.25
3701, -00000.302,  00033.002,  00011.402, -511.36
3801, -00000.562,  00030.602,  00010.352, -506.25
3901, -00003.442,  00032.102,  00010.502, -510.42
4001,  00001.192,  00029.702,  00012.002, -509.47
4101,  00001.242,  00030.902,  00010.652, -505.31
