time (ms), gyrz (dps), magx (uT), magy (uT), wheel (RPM)
226,  00002.792, -00021.302, -00052.052, 0.00
244,  00000.252, -00022.202, -00051.452, 0.00
301, -00000.922, -00022.652, -00050.252, 0.00
401, -00000.022, -00022.802, -00051.602, 0.00
501,  00001.852, -00021.152, -00050.252, 0.00
601,  00000.932, -00021.752, -00051.602, 0.00
701, -00001.112, -00021.752, -00051.302, 0.00
801, -00002.062, -00023.252, -00050.852, 0.00
901, -00000.312, -00022.202, -00051.902, 0.00
1001, -00001.282, -00020.702, -00050.702, 0.00
1101, -00002.572, -00021.302, -00050.552, 0.00
1201, -00000.022, -00021.302, -00050.852, 0.00
1301, -00001.262, -00022.652, -00051.152, 0.00
1401, -00001.842, -00022.202, -00052.652, 0.00
1501,  00000.662, -00022.502, -00052.052, 0.00
1601,  00001.142, -00021.752, -00050.552, 0.00
1701,  00002.582, -00023.552, -00051.302, 0.00
1801,  00000.112, -00021.752, -00052.052, 0.00
1901, -00000.312, -00021.452, -00051.452, 0.00
2001, -00000.532, -00021.452, -00051.902, 0.00
2101, -00000.542, -00023.252, -00052.802, 0.00
2201, -00000.272, -00021.452, -00050.702, 0.00
2301, -00001.372, -00022.652, -00051.452, 0.00
2401,  00001.732, -00022.502, -00050.852, 0.00
2501,  00001.552, -00021.752, -00052.052, 0.00
2601, -00002.142, -00020.702, -00051.152, 0.00
2701, -00000.112, -00021.302, -00050.102, 0.00
2801, -00001.142, -00021.302, -00052.502, 0.00
2901, -00000.692, -00021.752, -00050.852, 0.00
3001, -00000.402, -00022.202, -00051.452, 0.00
3101, -00002.752, -00020.702, -00051.152, 0.00
3201,  00000.822, -00022.652, -00050.702, 0.00
3301, -00001.192, -00021.752, -00050.552, 0.00
3401, -00000.732, -00022.052, -00052.502, 0.00
3501, -00002.932, -00020.552, -00053.252, 0.00
3601, -00003.152, -00019.952, -00053.102, 0.00
3701, -00002.342, -00019.652, -00053.852, 0.00
3801, -00001.172, -00018.152, -00053.402, 0.00
3901, -00000.032, -00019.502, -00053.552, 0.00
4001, -00000.762, -00020.252, -00054.002, 0.00
4101, -00000.832, -00019.802, -00053.252, 0.00
4201, -00000.642, -00019.202, -00052.652, 0.00
4301, -00001.582, -00020.402, -00054.152, 0.00
4401, -00000.762, -00019.952, -00054.152, 0.00
4501, -00000.362, -00019.652, -00053.402, 0.00
time (ms), gyrz (dps), magx (uT), magy (uT), wheel (RPM)
206, -00000.402, -00017.252, -00055.952, 0.00
224, -00002.722, -00016.952, -00055.352, -20.83
301, -00000.232, -00016.652, -00056.552, -83.88
401, -00002.302, -00018.452, -00055.052, -184.69
501, -00003.072, -00016.502, -00056.702, -264.38
601, -00000.202, -00016.202, -00056.852, -325.76
701, -00001.892, -00016.502, -00055.952, -364.69
801, -00003.922, -00016.802, -00055.502, -393.75
901,  00003.822, -00017.252, -00055.952, -415.31
